"Hello, this is officer Davis from the IRS. You owe unpaid taxes and must pay immediately to avoid arrest.",1
"Congratulations! You have been selected to win a free iPhone. Please provide your credit card to cover the shipping fee.",1
"Your bank account has been compromised. Please verify your account number and social security immediately.",1
"Your car warranty has expired. Press one to renew your coverage and avoid cancellation fees.",1
"This is Amazon support. We noticed suspicious activity on your account. Please install our app to verify your identity.",1
"We are calling from Microsoft support. Your computer has a virus. Please allow remote access so we can fix it.",1
"This is the refund department. We accidentally charged your credit card and need your banking details to refund you.",1
"This is the IRS audit division. You must pay $900 in taxes now or face legal action.",1
"Hi, your debit card has been frozen. Provide your PIN to reactivate your account.",1
"You have won a free vacation package to Hawaii! Just pay a small processing fee to claim it.",1
"This is PayPal security. There’s a suspicious transaction. Confirm your password to unlock your account.",1
"This is Medicare. We need to update your insurance policy information right now.",1
"Your crypto wallet is being hacked. Send your recovery phrase to secure your funds.",1
"You’ve been chosen for a government grant. To receive it, wire $200 for verification.",1
"This is AppleCare. Your device warranty has expired. Renew today to avoid coverage loss.",1
"Your electricity will be disconnected within 30 minutes unless payment is made immediately.",1
"This is the Social Security Department. Your number has been suspended for suspicious activity.",1
"We are calling from the refund center. Please share your bank account so we can transfer your refund.",1
"This is an emergency message from your financial department. Transfer $500 to confirm your identity.",1
"Your Amazon Prime subscription has been renewed for $399. Press one to cancel the charge.",1

"Hi, this is Karen from your local bank branch. I’m calling to confirm your appointment tomorrow at 10 AM.",0
"This is the pharmacy. Your prescription refill is ready for pickup.",0
"Hello, this is FedEx. We’re delivering your package today between 2 and 5 PM.",0
"This is your dentist’s office calling to remind you of your appointment next week.",0
"Hi, this is Jake from the insurance agency. Just checking if you received your renewal documents.",0
"This is your internet provider. We’re performing maintenance in your area tonight.",0
"Hello, this is the electricity board. We’re notifying you about scheduled power outage maintenance.",0
"This is the car dealership. Your vehicle service is due soon. Would you like to schedule?",0
"Hi, this is the local hospital. Your test results are ready for pickup.",0
"This is your gym. We’re calling to confirm your membership renewal.",0
"This is customer service from your mobile carrier. We’ve upgraded your plan successfully.",0
"Hello, this is the delivery service. Your order will arrive tomorrow.",0
"Hi, this is the school office reminding you about parent-teacher meetings.",0
"This is your cable company. We’re offering free channel upgrades this weekend.",0
"Hi, this is the hotel front desk confirming your reservation.",0
"This is HR. We’re scheduling your annual performance review for next Monday.",0
"Hello, this is the maintenance department checking your building’s water supply.",0
"This is the airline. Your flight has been rescheduled to 6 PM.",0
"This is your landlord reminding you that rent is due next week.",0
"Hi, this is a courtesy call to confirm your doctor’s appointment for Friday.",0
